cell	genome	process	n_tasks	n_failed	n_aborted	n_superseded	n_unresolved	realtime_hours_sum	wall_clock_hours	cpu_hours_sum	peak_rss_gb_max	rss_field	overhead_task_time_hours_sum	overhead_cpu_hours_sum	attempts	cpus	queues
v1.9.0-rc1_container_rust	Rhizopus_delemar	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.5806	1.5834	19.3492	3.3	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Rhizopus_microsporus	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.2417	0.25	2.2127	7.0	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Rhizopus_microsporus_ATCC_52813	TRAIN_PREDICT:FUNANNOTATE_TRAIN	0	1	0	0	1	0.0		0.0	0.0		0.3	0.0			
v1.9.0-rc1_container_rust	Rhodotorula_graminis_WP1	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.0178	1.0167	6.5789	6.5	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Rhodotorula_toruloides_NP11	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.9653	0.9667	6.0726	4.2	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Schizophyllum_commune	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.0319	1.0334	12.6599	2.6	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Sclerotinia_sclerotiorum	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.4011	1.4168	17.0039	2.8	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Spizellomyces_punctatus_DAOM_BR117	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.6556	0.65	4.1765	4.2	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Sporobolomyces_koalae_JCM15063	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.9194	0.9167	5.9819	3.2	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Sporobolomyces_salmoneus_JCM6883	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.9911	1.0	6.0269	3.5	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Sugiyamaella_lignohabitans_CBS_10342	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.8689	0.8834	5.6078	4.5	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Synchytrium_microbalum_JEL517	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.6136	0.6334	3.9964	4.1	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Talaromyces_marneffei	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.1358	1.1335	14.6363	7.8	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Talaromyces_stipitatus_ATCC_10500	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.3922	1.4001	8.732	4.6	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Tilletiaria_anomala	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.605	0.6167	7.6303	2.2	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Tilletiopsis_washingtonensis	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.6956	0.7	8.3682	1.7	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Tremella_mesenterica_Fries	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	2.1594	2.1668	14.5655	5.2	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Uncinocarpus_reesii_1704	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.3922	1.4001	8.7849	3.7	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Wallemia_mellicola_CBS_633.66	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.8911	0.9	6.0738	2.7	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Yarrowia_lipolytica	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.9525	0.9667	11.6424	1.8	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Zygosaccharomyces_rouxii	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.2106	0.2167	2.538	2.7	peak_rss	0.0	0.0	1	16	epyc
