cell	genome	process	task_name	status	exit	realtime_s	cpu_pct	peak_rss_gb	rss_field	cpu_hours	attempt	cpus	memory_req_gb	queue	hostname	submit	start	complete	trace_file	role
v1.9.0-rc1_container	Protomyces_lactucae-debilis	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Protomyces_lactucae-debilis)	COMPLETED	0	1240.0	1235.8	4.6	peak_rss	4.256644444444444	1	16	52.0	epyc		2026-09-24 01:20:01.183	2026-09-24 06:04:17.390	2026-09-24 06:25:17.692	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Lipomyces_tetrasporus	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Lipomyces_tetrasporus)	COMPLETED	0	4275.0	1289.2	3.0	peak_rss	15.309250000000002	1	16	52.0	epyc		2026-09-24 01:19:49.177	2026-09-24 05:18:17.148	2026-09-24 06:30:17.540	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Sclerotinia_sclerotiorum	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Sclerotinia_sclerotiorum)	COMPLETED	0	3854.0	1220.3	2.8	peak_rss	13.063989444444443	1	16	52.0	epyc		2026-09-24 01:19:55.179	2026-09-24 05:40:17.247	2026-09-24 06:45:17.631	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Gaeumannomyces_tritici	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Gaeumannomyces_tritici)	COMPLETED	0	5060.0	1214.6	2.6	peak_rss	17.071877777777775	1	16	52.0	epyc		2026-09-24 01:19:51.183	2026-09-24 05:20:17.116	2026-09-24 06:45:17.613	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Chaetomium_globosum	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Chaetomium_globosum)	COMPLETED	0	5446.0	1236.2	2.8	peak_rss	18.700958888888888	1	16	52.0	epyc		2026-09-24 01:19:53.178	2026-09-24 05:32:17.180	2026-09-24 07:03:17.638	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Laccaria_bicolor_S238N-H82	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Laccaria_bicolor_S238N-H82)	COMPLETED	0	8915.0	644.7	6.9	peak_rss	15.965279166666665	1	8	32.0	epyc		2026-09-24 01:19:47.174	2026-09-24 04:48:16.934	2026-09-24 07:17:17.792	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Pseudogymnoascus_destructans	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Pseudogymnoascus_destructans)	COMPLETED	0	3785.0	1171.1	2.9	peak_rss	12.312815277777776	1	16	52.0	epyc		2026-09-24 01:20:03.178	2026-09-24 06:15:17.553	2026-09-24 07:19:17.899	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Mucor_mucedo	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Mucor_mucedo)	COMPLETED	0	4620.0	1173.7	2.1	peak_rss	15.062483333333335	1	16	52.0	epyc		2026-09-24 01:19:59.173	2026-09-24 06:02:17.458	2026-09-24 07:20:17.805	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container_rust	-	FETCH_RNASEQ:COLLECT_SRA_QUERY	FETCH_RNASEQ:COLLECT_SRA_QUERY	CACHED	0	0.0	50.8	0.0031000000000000003	peak_rss	0.0	1	1	2.0	short		2026-09-21 17:13:05.895	2026-09-21 17:14:04.973	2026-09-21 17:14:04.976	annotate_trace.20260924_011757.txt	cached
v1.9.0-rc1_container_rust	Rhizopus_microsporus	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Rhizopus_microsporus)	COMPLETED	0	870.0	915.6	7.0	peak_rss	2.2127000000000003	1	16	52.0	epyc		2026-09-24 01:18:24.779	2026-09-24 01:19:18.826	2026-09-24 01:34:18.908	annotate_trace.20260924_011757.txt	final
v1.9.0-rc1_container_rust	Spizellomyces_punctatus_DAOM_BR117	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Spizellomyces_punctatus_DAOM_BR117)	COMPLETED	0	2360.0	637.1	4.2	peak_rss	4.176544444444445	1	8	32.0	epyc		2026-09-24 01:18:26.560	2026-09-24 01:19:18.839	2026-09-24 01:58:18.981	annotate_trace.20260924_011757.txt	final
v1.9.0-rc1_container_rust	Cryptococcus_deneoformans	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Cryptococcus_deneoformans)	COMPLETED	0	2912.0	1226.0	3.1	peak_rss	9.916977777777777	1	16	52.0	epyc		2026-09-24 01:18:32.536	2026-09-24 01:26:18.887	2026-09-24 02:16:19.057	annotate_trace.20260924_011757.txt	final
v1.9.0-rc1_container_rust	Rhodotorula_toruloides_NP11	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Rhodotorula_toruloides_NP11)	COMPLETED	0	3475.0	629.1	4.2	peak_rss	6.0725625	1	8	32.0	epyc		2026-09-24 01:18:28.548	2026-09-24 01:19:18.856	2026-09-24 02:17:19.070	annotate_trace.20260924_011757.txt	final
